"filename", "language", "SCSS", "JSON", "Markdown", "TypeScript", "YAML", "TypeScript React", "XML", "comment", "blank", "total"
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Card\Card.types.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Chip\Chip.module.scss", "SCSS", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Chip\Chip.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Chip\Chip.tsx", "TypeScript React", 0, 0, 0, 0, 0, 26, 0, 1, 3, 30
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Chip\Chip.types.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 6, 2, 18
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Dialog\Dialog.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Dialog\Dialog.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 39, 0, 0, 4, 43
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Dialog\Dialog.tsx", "TypeScript React", 0, 0, 0, 0, 0, 48, 0, 3, 6, 57
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Dialog\Dialog.types.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 3, 3, 30
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\ExpandWorkspaceMenuButton\ExpandWorkspaceMenuButton.module.scss", "SCSS", 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\ExpandWorkspaceMenuButton\ExpandWorkspaceMenuButton.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\ExpandWorkspaceMenuButton\ExpandWorkspaceMenuButton.tsx", "TypeScript React", 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\ExpandableCard\ExpandableCard.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\ExpandableCard\ExpandableCard.tsx", "TypeScript React", 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\ExpandableCard\ExpandableCard.types.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\IconButton\IconButton.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\IconButton\IconButton.tsx", "TypeScript React", 0, 0, 0, 0, 0, 29, 0, 2, 2, 33
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\IconButton\IconButton.types.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 6, 2, 21
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\InputField\InputField.module.scss", "SCSS", 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\InputField\InputField.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 40, 0, 1, 4, 45
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\InputField\InputField.tsx", "TypeScript React", 0, 0, 0, 0, 0, 143, 0, 10, 8, 161
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\InputField\InputField.types.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 18, 2, 51
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Notify\Notify.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Notify\Notify.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 37, 0, 0, 4, 41
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Notify\Notify.tsx", "TypeScript React", 0, 0, 0, 0, 0, 107, 0, 6, 9, 122
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Notify\Notify.types.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 19, 3, 48
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Select\Select.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Select\Select.tsx", "TypeScript React", 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Select\Select.types.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 9, 2, 22
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\SliderModal\SliderModal.module.scss", "SCSS", 72, 0, 0, 0, 0, 0, 0, 0, 11, 83
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\SliderModal\SliderModal.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 79, 0, 0, 4, 83
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\SliderModal\SliderModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 56, 0, 0, 3, 59
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\SliderModal\SliderModal.types.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Switch\Switch.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Switch\Switch.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Switch\Switch.tsx", "TypeScript React", 0, 0, 0, 0, 0, 19, 0, 1, 2, 22
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Switch\Switch.types.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 9, 2, 20
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Table\Table.module.scss", "SCSS", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
